3300026156.a:Ga0209936_1012376	PUL0390_4	48.4	219	108	2	642	1	3	221	1.42e-52	186
3300026156.a:Ga0209936_1011318	PUL0121_28	32.8	253	164	2	2211	2969	47	293	4.59e-34	131
3300026156.a:Ga0209936_1009496	PUL0121_1	27.3	66	47	1	3326	3523	12	76	1.64e-04	42.7
3300026156.a:Ga0209936_1008867	PUL0093_8	23.9	289	205	5	53	895	168	449	1.95e-06	50.1
3300026156.a:Ga0209936_1004417	PUL0184_16	61.9	268	102	0	5371	6174	1	268	2.78e-107	342
3300026156.a:Ga0209936_1002911	PUL0136_8	34.2	374	243	2	5133	4021	49	422	3.35e-60	213
3300026156.a:Ga0209936_1002842	PUL0413_13	31.5	216	127	4	7170	7754	105	320	7.36e-26	109
3300026156.a:Ga0209936_1000399	PUL0281_1	55.4	341	150	2	8908	7889	2	341	4.68e-126	401
3300026156.a:Ga0209936_1001881	PUL0134_16	31.4	437	284	7	7613	8908	1	426	2.61e-52	190
3300026156.a:Ga0209936_1000232	PUL0396_7	38.1	483	275	8	29838	28441	16	491	2.82e-99	330
3300026156.a:Ga0209936_1003784	PUL0108_7	27.7	155	98	4	3433	2975	6	148	5.85e-12	65.9
3300026156.a:Ga0209936_1001197	PUL0390_3	46.2	325	158	7	2828	1896	3	324	3.68e-89	293
3300026156.a:Ga0209936_1000130	PUL0460_58	29.8	413	279	5	25010	26233	20	426	3.27e-45	171
3300026156.a:Ga0209936_1001088	PUL0336_15	40.1	187	105	3	4665	5204	4	190	1.49e-30	119
3300026156.a:Ga0209936_1000831	PUL0260_3	33.8	154	102	0	12262	12723	2	155	3.05e-22	95.1
3300026156.a:Ga0209936_1001835	PUL0178_1	34.1	381	232	10	3836	4942	256	629	3.70e-51	192
3300026156.a:Ga0209936_1000049	PUL0180_3	36.7	629	380	8	49173	47329	9	633	8.62e-120	396
3300026156.a:Ga0209936_1000268	PUL0404_6	36.8	351	216	3	11582	10533	55	400	1.40e-57	207
3300026156.a:Ga0209936_1000322	PUL0227_6	59.8	209	83	1	28109	27483	3	210	8.80e-77	254
3300026156.a:Ga0209936_1000118	PUL0413_13	37.4	155	81	4	9572	10018	195	339	1.42e-18	90.5
3300026156.a:Ga0209936_1000516	PUL0375_3	58.7	448	184	1	4649	3306	16	462	1.43e-160	505
3300026156.a:Ga0209936_1001699	PUL0460_58	43.8	422	237	0	7180	8445	2	423	1.78e-100	329
3300026156.a:Ga0209936_1000244	PUL0460_58	39.3	415	249	2	15584	16825	12	424	1.34e-84	285
3300026156.a:Ga0209936_1010886	PUL0500_10	34.8	187	117	3	2870	2313	2	184	1.62e-23	99.0
3300026156.a:Ga0209936_1000313	PUL0212_1	35.2	972	536	19	22168	24837	61	1020	1.23e-137	460
3300026156.a:Ga0209936_1004669	PUL0281_7	50.2	325	162	0	580	1554	18	342	4.77e-110	353
3300026156.a:Ga0209936_1000149	PUL0267_1	44.2	303	168	1	3355	4260	3	305	1.47e-79	266
3300026156.a:Ga0209936_1000537	PUL0121_4	52.1	238	109	2	11883	11185	6	243	4.63e-71	238
3300026156.a:Ga0209936_1003139	PUL0460_24	24.7	381	262	7	2286	1171	3	367	5.04e-25	107
3300026156.a:Ga0209936_1002150	PUL0530_12	26.9	818	525	19	2928	682	40	853	5.15e-66	241
3300026156.a:Ga0209936_1002247	PUL0406_16	47.2	712	345	9	3175	5265	90	785	8.96e-182	578
3300026156.a:Ga0209936_1001676	PUL0161_15	27.7	231	143	7	2573	1947	88	316	2.71e-13	72.4
3300026156.a:Ga0209936_1013520	PUL0196_5	37.0	54	25	2	1938	2075	39	91	9.80e-04	40.8
3300026156.a:Ga0209936_1013559	PUL0460_103	31.2	138	93	2	2668	3081	79	214	2.33e-09	58.5
3300026156.a:Ga0209936_1003579	PUL0454_18	26.1	330	225	6	2014	2952	55	382	2.28e-25	109
3300026156.a:Ga0209936_1000605	PUL0460_58	33.2	428	281	5	12168	10891	1	425	1.15e-63	224
3300026156.a:Ga0209936_1001060	PUL0121_1	26.6	218	153	2	12513	13145	2	219	7.80e-25	104
3300026156.a:Ga0209936_1003051	PUL0316_5	27.2	441	298	11	7068	5764	44	467	5.72e-33	134
3300026156.a:Ga0209936_1000432	PUL0134_16	33.4	434	269	7	9808	8534	5	427	4.81e-59	211
3300026156.a:Ga0209936_1003662	PUL0281_7	55.0	229	103	0	6368	7054	18	246	5.03e-81	270
3300026156.a:Ga0209936_1001688	PUL0335_17	53.4	406	188	1	5015	6232	2	406	1.77e-145	458
3300026156.a:Ga0209936_1000644	PUL0413_22	43.9	629	297	8	11020	9167	3	586	8.64e-156	496
3300026156.a:Ga0209936_1006104	PUL0460_53	31.4	137	91	1	3115	3525	11	144	3.15e-13	70.5
3300026156.a:Ga0209936_1001328	PUL0024_6	29.3	368	250	5	4191	3097	192	552	5.21e-42	163
3300026156.a:Ga0209936_1001313	PUL0335_8	53.8	262	119	1	2	781	124	385	4.97e-79	266
3300026156.a:Ga0209936_1012258	PUL0134_14	26.4	276	181	9	962	162	33	295	5.01e-16	78.6
3300026156.a:Ga0209936_1000602	PUL0050_20	55.3	273	120	2	2086	2901	1	272	7.39e-93	302
3300026156.a:Ga0209936_1000408	PUL0269_1	31.6	351	226	6	11350	10319	22	365	2.93e-46	172
3300026156.a:Ga0209936_1000020	PUL0339_18	44.3	704	375	8	64533	66611	29	726	7.49e-178	568
3300026156.a:Ga0209936_1000144	PUL0429_11	27.6	323	198	10	40614	41498	4	318	3.25e-23	104
3300026156.a:Ga0209936_1011982	PUL0217_1	44.8	174	89	3	2645	3151	2	173	1.73e-42	151
3300026156.a:Ga0209936_1000241	PUL0121_22	43.3	619	326	8	15153	16997	13	610	2.34e-152	488
3300026156.a:Ga0209936_1005504	PUL0336_23	30.6	124	77	5	1993	2343	220	341	1.71e-04	44.3
3300026156.a:Ga0209936_1009132	PUL0049_8	30.9	398	209	13	1656	586	56	428	4.53e-34	135
3300026156.a:Ga0209936_1002754	PUL0459_5	27.5	385	244	9	6984	8072	102	473	2.36e-32	135
3300026156.a:Ga0209936_1000263	PUL0527_2	32.0	634	374	14	10962	12803	17	613	1.09e-81	283
3300026156.a:Ga0209936_1001389	PUL0012_6	33.7	329	203	8	7502	6549	6	330	9.41e-48	174
3300026156.a:Ga0209936_1004573	PUL0413_24	28.3	545	257	10	2762	1134	555	967	7.82e-52	199
3300026156.a:Ga0209936_1002782	PUL0269_1	38.8	240	139	5	2844	3548	4	240	6.36e-47	172
3300026156.a:Ga0209936_1003567	PUL0347_6	30.8	247	161	5	719	1447	19	259	3.52e-20	92.8
3300026156.a:Ga0209936_1001646	PUL0340_3	33.0	815	422	20	9198	11345	2	791	1.27e-107	366
3300026156.a:Ga0209936_1001332	PUL0009_7	42.2	237	133	2	1373	2083	4	236	1.18e-50	183
3300026156.a:Ga0209936_1000228	PUL0049_7	30.4	395	262	7	18945	17794	1	393	1.99e-51	188
3300026156.a:Ga0209936_1000127	PUL0347_12	40.9	687	345	18	42990	44909	89	761	8.70e-148	483
3300026156.a:Ga0209936_1000321	PUL0413_13	32.6	221	129	5	10497	9880	121	336	9.59e-25	108
3300026156.a:Ga0209936_1001392	PUL0136_8	40.4	426	251	2	4718	3450	3	428	1.45e-90	301
3300026156.a:Ga0209936_1001193	PUL0436_1	25.1	813	531	22	8921	6543	7	761	1.62e-65	238
3300026156.a:Ga0209936_1000733	PUL0519_2	39.1	501	297	7	9125	7629	3	497	1.20e-120	391
3300026156.a:Ga0209936_1000133	PUL0049_7	48.3	393	203	0	26780	25602	1	393	1.96e-118	382
3300026156.a:Ga0209936_1002919	PUL0201_13	45.3	192	100	1	389	964	17	203	7.28e-48	169
3300026156.a:Ga0209936_1001128	PUL0536_3	29.4	293	177	7	10914	11768	3	273	1.07e-33	131
3300026156.a:Ga0209936_1000555	PUL0106_20	34.2	978	457	19	13428	15902	1	944	2.97e-170	552
3300026156.a:Ga0209936_1000361	PUL0058_1	48.3	627	304	10	14236	12365	7	616	1.53e-183	578
3300026156.a:Ga0209936_1002689	PUL0396_2	28.6	455	237	11	2302	3642	436	810	1.46e-32	136
3300026156.a:Ga0209936_1000102	PUL0145_15	25.8	1064	706	20	6165	3169	7	1052	3.68e-91	324
