TAXAS	3300005062_4	3300006249_7	3300007098_3	3300008268_8	3300011799_3	3300012811_5	3300013014_21	3300013138_52	3300014780_5	3300020426_2	3300025161_16	3300025471_17	3300025846_9	3300026121_15	3300026907_2	3300027043_5	3300027850_47	3300028070_3	3300028084_3	3300028087_3	3300028569_14	3300028994_3	3300029051_9	3300029323_5	3300029839_14
PUL0001	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1
PUL0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PUL0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUL0006	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0
PUL0007	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
PUL0008	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0
PUL0009	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PUL0010	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PUL0011	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0012	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0013	0	1	0	0	0	0	2	1	0	0	1	1	1	5	0	0	0	1	1	0	2	0	0	1	1
PUL0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
PUL0015	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
PUL0016	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	3
PUL0017	1	1	1	0	2	1	4	1	1	3	2	2	0	3	3	0	1	1	0	0	3	1	2	2	1
PUL0019	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	2
PUL0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PUL0021	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PUL0022	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	4
PUL0024	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	4	5	4	3
PUL0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PUL0026	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUL0027	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PUL0028	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
